日期,毛利润
2013-07-10,-78.88
2013-07-11,-57.98
2013-07-12,-47.54
2013-07-13,0
2013-07-14,0
2013-07-15,-60.07
2013-07-16,-55.9
2013-07-17,-45.45
2013-07-18,-32.91
2013-07-19,-20.37
2013-07-20,0
2013-07-21,0
2013-07-22,-16.19
2013-07-23,-5.75
2013-07-24,-1.57
2013-07-25,5.75
2013-07-26,33.95
2013-07-27,0
2013-07-28,0
2013-07-29,61.12
2013-07-30,102.9
2013-07-31,128
2013-08-01,111.3
2013-08-02,130.1
2013-08-03,0
2013-08-04,0
2013-08-05,130.1
2013-08-06,138.4
2013-08-07,140.5
2013-08-08,148.9
2013-08-09,153.1
2013-08-10,0
2013-08-11,0
2013-08-12,169.8
2013-08-13,182.3
2013-08-14,211.6
2013-08-15,293.1
2013-08-16,357.8
2013-08-17,0
2013-08-18,0
2013-08-19,357.8
2013-08-20,309.8
2013-08-21,268
2013-08-22,242.9
2013-08-23,219.9
2013-08-24,0
2013-08-25,0
2013-08-26,219.9
2013-08-27,217.8
2013-08-28,245
2013-08-29,247.1
2013-08-30,261.7
2013-08-31,0
2013-09-01,0
2013-09-02,307.7
2013-09-03,324.4
2013-09-04,330.7
2013-09-05,326.5
2013-09-06,345.3
2013-09-07,0
2013-09-08,0
2013-09-09,364.1
2013-09-10,418.4
2013-09-11,447.7
2013-09-12,441.4
2013-09-13,443.5
2013-09-14,0
2013-09-15,0
2013-09-16,437.2
2013-09-17,460.2
2013-09-18,489.5
2013-09-19,0
2013-09-20,0
2013-09-21,0
2013-09-22,0
2013-09-23,579.3
2013-09-24,619
2013-09-25,648.3
2013-09-26,648.3
2013-09-27,639.9
2013-09-28,0
2013-09-29,0
2013-09-30,627.4
2013-10-01,0
2013-10-02,0
2013-10-03,0
2013-10-04,0
2013-10-05,0
2013-10-06,0
2013-10-07,0
2013-10-08,604.4
2013-10-09,593.9
2013-10-10,593.9
2013-10-11,589.8
2013-10-12,0
2013-10-13,0
2013-10-14,575.1
2013-10-15,571
2013-10-16,562.6
2013-10-17,548
2013-10-18,541.7
2013-10-19,0
2013-10-20,0
2013-10-21,535.4
2013-10-22,527.1
2013-10-23,520.8
2013-10-24,522.9
2013-10-25,512.5
2013-10-26,0
2013-10-27,0
2013-10-28,520.8
2013-10-29,527.1
2013-10-30,535.4
2013-10-31,541.7
2013-11-01,543.8
2013-11-02,0
2013-11-03,0
2013-11-04,556.3
2013-11-05,556.3
2013-11-06,564.7
2013-11-07,558.4
2013-11-08,558.4
2013-11-09,0
2013-11-10,0
2013-11-11,571
2013-11-12,577.2
2013-11-13,579.3
2013-11-14,583.5
2013-11-15,596
2013-11-16,0
2013-11-17,0
2013-11-18,619
2013-11-19,629.5
2013-11-20,652.5
2013-11-21,660.8
2013-11-22,685.9
2013-11-23,0
2013-11-24,0
2013-11-25,719.3
2013-11-26,731.9
2013-11-27,702.6
2013-11-28,702.6
2013-11-29,702.6
2013-11-30,0
2013-12-01,0
2013-12-02,748.6
2013-12-03,815.4
2013-12-04,884.4
2013-12-05,949.2
2013-12-06,1043
2013-12-07,0
2013-12-08,0
2013-12-09,1175
2013-12-10,1192
2013-12-11,1091
2013-12-12,1052
2013-12-13,991
2013-12-14,0
2013-12-15,0
2013-12-16,863.5
2013-12-17,765.3
2013-12-18,702.6
2013-12-19,721.4
2013-12-20,711
2013-12-21,0
2013-12-22,0
2013-12-23,729.8
2013-12-24,721.4
2013-12-25,736
2013-12-26,727.7
2013-12-27,700.5
2013-12-28,0
2013-12-29,0
2013-12-30,669.2
2013-12-31,662.9
2014-01-01,0
2014-01-02,616.9
2014-01-03,581.4
2014-01-04,0
2014-01-05,0
2014-01-06,575.1
2014-01-07,522.9
2014-01-08,479
2014-01-09,479
2014-01-10,483.2
2014-01-11,0
2014-01-12,0
2014-01-13,506.2
2014-01-14,510.4
2014-01-15,518.7
2014-01-16,514.5
2014-01-17,506.2
2014-01-18,0
2014-01-19,0
2014-01-20,499.9
2014-01-21,491.6
2014-01-22,468.6
2014-01-23,460.2
2014-01-24,466.5
2014-01-25,0
2014-01-26,0
2014-01-27,466.5
2014-01-28,466.5
2014-01-29,466.5
2014-01-30,0
2014-01-31,0
2014-02-01,0
2014-02-02,0
2014-02-03,0
2014-02-04,0
2014-02-05,0
2014-02-06,0
2014-02-07,476.9
2014-02-08,0
2014-02-09,0
2014-02-10,504.1
2014-02-11,525
2014-02-12,516.6
2014-02-13,508.3
2014-02-14,508.3
2014-02-15,0
2014-02-16,0
2014-02-17,502
2014-02-18,489.5
2014-02-19,481.1
2014-02-20,460.2
2014-02-21,439.3
2014-02-22,0
2014-02-23,0
2014-02-24,391.3
2014-02-25,351.6
2014-02-26,311.9
2014-02-27,268
2014-02-28,238.7
2014-03-01,0
2014-03-02,0
2014-03-03,213.7
2014-03-04,209.5
2014-03-05,222
2014-03-06,240.8
2014-03-07,247.1
2014-03-08,0
2014-03-09,0
2014-03-10,232.5
2014-03-11,238.7
2014-03-12,224.1
2014-03-13,180.2
2014-03-14,128
2014-03-15,0
2014-03-16,0
2014-03-17,107.1
2014-03-18,98.73
2014-03-19,79.92
2014-03-20,67.39
2014-03-21,61.12
2014-03-22,0
2014-03-23,0
2014-03-24,100.8
2014-03-25,84.1
2014-03-26,88.28
2014-03-27,96.64
2014-03-28,98.73
2014-03-29,0
2014-03-30,0
2014-03-31,157.2
2014-04-01,161.4
2014-04-02,159.3
2014-04-03,146.8
2014-04-04,151
2014-04-05,0
2014-04-06,0
2014-04-07,0
2014-04-08,155.1
2014-04-09,148.9
2014-04-10,138.4
2014-04-11,132.2
2014-04-12,0
2014-04-13,0
2014-04-14,123.8
2014-04-15,123.8
2014-04-16,100.8
2014-04-17,77.83
2014-04-18,82.01
2014-04-19,0
2014-04-20,0
2014-04-21,109.2
2014-04-22,115.4
2014-04-23,111.3
2014-04-24,128
2014-04-25,125.9
2014-04-26,0
2014-04-27,0
2014-04-28,132.2
2014-04-29,123.8
2014-04-30,115.4
2014-05-01,0
2014-05-02,0
2014-05-03,0
2014-05-04,0
2014-05-05,88.28
2014-05-06,71.57
2014-05-07,50.67
2014-05-08,48.58
2014-05-09,36.04
2014-05-10,0
2014-05-11,0
2014-05-12,46.49
2014-05-13,42.31
2014-05-14,33.95
2014-05-15,19.33
2014-05-16,0.52
2014-05-17,0
2014-05-18,0
2014-05-19,-5.75
2014-05-20,-15.15
2014-05-21,-24.55
2014-05-22,-32.91
2014-05-23,-41.27
2014-05-24,0
2014-05-25,0
2014-05-26,-37.09
2014-05-27,-37.09
2014-05-28,-35
2014-05-29,-41.27
2014-05-30,-53.81
2014-05-31,0
2014-06-01,0
2014-06-02,0
2014-06-03,-57.98
2014-06-04,-64.25
2014-06-05,-91.42
2014-06-06,-93.51
2014-06-07,0
2014-06-08,0
2014-06-09,-103.95
2014-06-10,-116.49
2014-06-11,-112.31
2014-06-12,-99.78
2014-06-13,-49.63
2014-06-14,0
2014-06-15,0
2014-06-16,-5.75
2014-06-17,-18.28
2014-06-18,-43.36
2014-06-19,-47.54
2014-06-20,-64.25
2014-06-21,0
2014-06-22,0
2014-06-23,-47.54
2014-06-24,-43.36
2014-06-25,-35
2014-06-26,2.61
2014-06-27,17.24
2014-06-28,0
2014-06-29,0
2014-06-30,6.79
2014-07-01,-5.75
2014-07-02,-9.93
2014-07-03,-9.93
2014-07-04,-20.37
2014-07-05,0
2014-07-06,0
2014-07-07,-5.75
2014-07-08,-12.01
2014-07-09,-20.37
2014-07-10,-30.82
2014-07-11,-47.54
2014-07-12,0
2014-07-13,0
2014-07-14,-49.63
2014-07-15,-49.63
2014-07-16,-55.9
2014-07-17,-57.98
2014-07-18,-68.43
2014-07-19,0
2014-07-20,0
