日期,价格
20110901,2903.75
20110902,2903.75
20110905,2925.00
20110906,2943.75
20110907,2958.75
20110908,2967.50
20110909,2975.00
20110912,2990.00
20110914,3008.75
20110915,3042.50
20110916,3076.25
20110919,3122.50
20110920,3121.25
20110921,3137.50
20110922,3130.00
20110923,3130.00
20110926,3115.00
20110927,3087.50
20110928,3085.00
20110929,3082.50
20110930,3078.75
20111011,3097.50
20111012,3088.75
20111013,3087.50
20111014,3080.00
20111017,3080.00
20111018,3067.50
20111019,3060.00
20111020,3055.00
20111021,3046.25
20111024,2978.75
20111025,2972.50
20111026,2973.75
20111027,2991.25
20111028,3006.25
20111031,3011.25
20111101,3012.50
20111102,3012.50
20111103,3017.50
20111104,3023.75
20111107,3031.25
20111108,3031.25
20111109,3023.75
20111110,3023.75
20111111,2996.25
20111114,2978.75
20111115,2971.25
20111116,2956.25
20111117,2940.00
20111118,2932.50
20111121,2920.00
20111122,2908.75
20111123,2897.50
20111124,2877.50
20111125,2875.00
20111128,2852.50
20111129,2847.50
20111130,2855.00
20111201,2865.00
20111202,2865.00
20111205,2857.50
20111206,2860.00
20111207,2856.25
20111208,2842.50
20111209,2842.50
20111212,2811.25
20111213,2793.75
20111214,2776.25
20111215,2738.75
20111216,2708.75
20111219,2666.25
20111220,2643.75
20111221,2640.00
20111222,2633.75
20111223,2631.25
20111226,2620.00
20111227,2606.25
20111228,2612.50
20111229,2613.75
20111230,2622.50
20120104,2661.25
20120105,2673.75
20120106,2678.75
20120109,2695.00
20120110,2707.50
20120111,2707.50
20120112,2713.75
20120113,2713.75
20120116,2715.00
20120117,2717.50
20120118,2730.00
20120119,2742.50
20120120,2742.50
20120129,2743.75
20120130,2767.50
20120131,2791.25
20120201,2805.00
20120202,2802.50
20120203,2790.00
20120206,2795.00
20120207,2796.25
20120208,2791.25
20120209,2775.00
20120210,2758.75
20120213,2740.00
20120214,2726.25
20120215,2708.75
20120216,2706.25
20120217,2706.25
20120220,2707.50
20120221,2712.50
20120222,2717.50
20120223,2723.75
20120224,2738.75
20120227,2741.25
20120228,2741.25
20120229,2752.50
20120301,2775.00
20120302,2792.50
20120305,2857.50
20120306,2860.00
20120307,2830.00
20120308,2818.75
20120309,2810.00
20120312,2802.50
20120313,2796.25
20120314,2798.75
20120315,2798.75
20120316,2801.25
20120319,2800.00
20120320,2800.00
20120321,2800.00
20120322,2796.25
20120323,2791.25
20120326,2802.50
20120327,2803.75
20120328,2808.75
20120329,2807.50
20120330,2803.75
20120405,2787.50
20120406,2787.50
20120409,2787.50
20120410,2788.75
20120411,2787.50
20120412,2790.00
20120413,2801.25
20120416,2808.75
20120417,2816.25
20120418,2845.00
20120419,2860.00
20120420,2865.00
20120423,2851.25
20120424,2876.25
20120425,2911.25
20120426,2933.75
20120427,2952.50
20120503,2985.00
20120504,2985.00
20120507,2960.00
20120508,2960.00
20120509,2931.25
20120510,2921.25
20120511,2917.50
20120514,2913.75
20120515,2902.50
20120516,2877.50
20120517,2842.50
20120518,2830.00
20120521,2826.25
20120522,2830.00
20120523,2821.25
20120524,2818.75
20120525,2810.00
20120528,2805.00
20120529,2802.50
20120530,2788.75
20120531,2771.25
20120601,2771.25
20120604,2742.50
20120605,2722.50
20120606,2712.50
20120607,2707.50
20120608,2696.25
20120611,2677.50
20120612,2627.50
20120613,2612.50
20120614,2602.50
20120615,2597.50
20120618,2613.75
20120619,2630.00
20120620,2660.00
20120621,2675.00
20120625,2678.75
20120626,2678.75
20120627,2652.50
20120628,2630.00
20120629,2632.50
20120702,2672.50
20120703,2685.00
20120704,2698.75
20120705,2702.50
20120706,2705.00
20120709,2696.25
20120710,2681.25
20120711,2663.75
20120712,2655.00
20120713,2656.25
20120716,2655.00
20120717,2660.00
20120718,2647.50
20120719,2647.50
20120720,2646.25
20120723,2640.00
20120724,2633.75
20120725,2631.25
20120726,2628.75
20120727,2638.75
20120730,2661.25
20120731,2668.75
20120801,2673.75
20120802,2673.75
20120803,2678.75
20120806,2700.00
20120807,2720.00
20120808,2731.25
20120809,2733.75
20120810,2738.75
20120813,2737.50
20120814,2728.75
20120815,2728.75
20120816,2725.00
20120817,2716.25
20120820,2706.25
20120821,2693.75
20120822,2682.50
20120823,2680.00
20120824,2687.50
20120827,2691.25
20120828,2706.25
20120829,2712.50
20120830,2711.25
20120831,2713.75
20120903,2716.25
20120904,2727.50
20120905,2722.50
20120906,2733.75
20120907,2737.50
20120910,2750.00
20120911,2756.25
20120912,2765.00
20120913,2772.50
20120914,2782.50
20120917,2800.00
20120918,2816.25
20120919,2818.75
20120920,2816.25
20120921,2811.25
20120924,2805.00
20120925,2797.50
20120926,2796.25
20120927,2790.00
20120928,2778.75
20121008,2785.00
20121009,2785.00
20121010,2788.75
20121011,2791.25
20121012,2787.50
20121015,2785.00
20121016,2773.75
20121017,2767.50
20121018,2768.75
20121019,2763.75
20121022,2748.75
20121023,2741.25
20121024,2735.00
20121025,2736.25
20121026,2727.50
20121029,2741.25
20121030,2746.25
20121031,2751.25
20121101,2751.25
20121102,2747.50
20121105,2746.25
20121106,2750.00
20121107,2745.00
20121108,2742.50
20121109,2740.00
20121112,2728.75
20121113,2722.50
20121114,2706.25
20121115,2706.25
20121116,2703.75
20121119,2688.75
20121120,2681.25
20121121,2678.75
20121122,2671.25
20121123,2666.25
20121126,2663.75
20121127,2661.25
20121128,2660.00
20121129,2652.50
20121130,2646.25
20121203,2638.75
20121204,2631.25
20121205,2623.75
20121206,2621.25
20121207,2620.00
20121210,2618.75
20121211,2617.50
20121212,2617.50
20121213,2616.25
20121214,2618.75
20121217,2618.75
20121218,2613.75
20121219,2608.75
20121220,2605.00
20121221,2602.50
20121224,2588.75
20121225,2572.50
20121226,2567.50
20121227,2556.25
20121228,2542.50
20121231,2532.50
20130102,2532.50
20130103,2532.50
20130104,2526.25
20130107,2531.25
20130108,2547.50
20130109,2548.75
20130110,2556.25
20130111,2555.00
20130114,2560.00
20130115,2566.25
20130116,2567.50
20130117,2571.25
20130118,2582.50
20130121,2623.75
20130122,2628.75
20130123,2647.50
20130124,2648.75
20130125,2645.00
20130128,2638.75
20130129,2638.75
20130130,2647.50
20130131,2650.00
20130201,2642.50
20130204,2645.00
20130205,2647.50
20130216,2663.75
20130218,2676.25
20130219,2686.25
20130220,2692.50
20130221,2690.00
20130222,2683.75
20130225,2677.50
20130226,2665.00
20130227,2655.00
20130228,2652.50
20130301,2655.00
20130304,2650.00
20130305,2645.00
20130306,2640.00
20130307,2633.75
20130308,2628.75
20130311,2625.00
20130312,2623.75
20130313,2628.75
20130314,2618.75
20130315,2617.50
20130318,2613.75
20130319,2612.50
20130320,2611.25
20130321,2610.00
20130322,2610.00
20130325,2616.25
20130326,2621.25
20130327,2627.50
20130328,2631.25
20130329,2635.00
20130401,2631.25
20130402,2625.00
20130403,2625.00
20130408,2632.50
20130409,2633.75
20130410,2622.50
20130411,2618.75
20130412,2617.50
20130415,2594.25
20130416,2590.50
20130417,2593.75
20130418,2588.75
20130419,2582.50
20130422,2578.75
20130423,2571.25
20130424,2561.25
20130425,2555.00
20130426,2553.00
20130502,2555.00
20130503,2563.75
20130506,2576.75
20130507,2586.25
20130508,2585.00
20130509,2585.00
20130510,2578.75
20130513,2568.75
20130514,2563.75
20130515,2549.25
20130516,2541.00
20130517,2530.50
20130520,2525.50
20130521,2513.00
20130523,2508.00
20130524,2504.25
20130527,2494.25
20130528,2486.75
20130529,2491.75
20130530,2491.75
20130531,2490.50
20130603,2490.00
20130604,2488.75
20130605,2485.00
20130606,2485.00
20130607,2471.25
20130612,2465.00
20130613,2457.50
20130614,2451.25
20130617,2453.75
20130618,2455.50
20130619,2453.75
20130620,2452.50
20130621,2450.00
20130624,2447.50
20130625,2447.50
20130626,2438.75
20130627,2433.75
20130628,2426.25
20130701,2421.25
20130702,2420.00
20130703,2420.00
20130704,2405.00
20130705,2405.00
20130708,2405.00
20130709,2407.50
20130710,2415.00
20130711,2415.00
20130712,2420.00
20130715,2436.25
20130716,2443.75
20130717,2457.50
20130718,2465.00
20130719,2473.75
20130722,2473.75
20130723,2492.50
20130724,2513.75
20130725,2517.50
20130726,2521.25
20130729,2521.25
20130730,2533.75
20130731,2555.00
20130801,2572.50
20130802,2590.00
20130805,2607.50
20130806,2632.50
20130807,2662.50
20130808,2680.00
20130809,2700.00
20130812,2718.75
20130813,2718.75
20130814,2771.25
20130815,2783.75
20130816,2800.00
20130819,2830.00
20130820,2847.50
20130821,2827.50
20130822,2805.00
20130823,2805.00
20130826,2802.50
20130827,2802.50
20130828,2832.50
20130829,2842.50
20130830,2850.00
20130902,2847.50
20130903,2852.50
20130904,2852.50
20130905,2847.50
20130906,2847.50
20130909,2867.50
20130910,2900.00
20130911,2927.50
20130912,2952.50
20130913,2960.00
20130916,2962.50
20130917,3022.50
20130918,3052.50
20130919,3052.50
20130920,3052.50
20130922,3082.50
20130923,3132.50
20130924,3160.00
20130925,3195.00
20130926,3195.00
20130927,3195.00
20130929,3180.00
20130930,3172.50
20131008,3102.00
20131009,3074.00
20131010,3054.00
20131011,3026.00
20131012,3026.00
20131014,2998.00
20131015,2986.00
20131016,2974.00
20131017,2964.00
20131018,2966.00
20131021,2936.00
20131022,2934.00
20131023,2940.00
20131024,2946.00
20131025,2949.00
20131028,2949.00
20131029,2978.00
20131030,2982.00
20131031,3012.00
20131101,3016.00
20131104,3032.00
20131105,3044.00
20131106,3081.00
20131107,3091.00
20131108,3091.00
20131111,3091.00
20131112,3104.00
20131113,3108.00
20131114,3106.00
20131115,3128.00
20131118,3162.00
20131119,3206.00
20131120,3222.00
20131121,3244.00
20131122,3258.00
20131125,3274.00
20131126,3328.00
20131127,3361.00
20131128,3386.00
20131129,3407.00
20131202,3442.00
20131203,3478.00
20131204,3483.00
20131205,3542.00
20131206,3567.00
20131209,3598.00
20131210,3634.00
20131211,3697.00
20131212,3682.00
20131213,3660.00
20131216,3530.00
20131217,3432.00
20131218,3351.00
20131219,3301.00
20131220,3243.00
20131223,3232.00
20131224,3223.00
20131225,3206.00
20131226,3206.00
20131227,3204.00
20131230,3166.00
20131231,3129.00
20140102,3066.00
20140103,3037.00
20140106,3015.00
20140107,2982.00
20140108,2938.00
20140109,2923.00
20140110,2911.00
20140113,2931.00
20140114,2944.00
20140115,2954.00
20140116,2981.00
20140117,2986.00
20140120,2978.00
20140121,2981.00
20140122,2981.00
20140123,2981.00
20140124,2985.00
20140127,2982.00
20140128,2982.00
20140129,2982.00
20140130,2982.00
20140131,2982.00
20140203,2982.00
20140204,2982.00
20140205,2982.00
20140206,2982.00
20140207,2988.00
20140210,2992.00
20140211,3003.00
20140212,3005.00
20140213,3005.00
20140214,3005.00
20140217,3005.00
20140218,3005.00
20140219,2964.00
20140220,2951.00
20140221,2949.00
20140224,2904.00
20140225,2858.00
20140226,2805.00
20140227,2752.00
20140228,2719.00
20140303,2683.00
20140304,2658.00
20140305,2644.00
20140306,2644.00
20140307,2681.00
20140310,2724.00
20140311,2726.00
20140312,2718.00
20140313,2715.00
20140314,2688.00
20140317,2618.00
20140318,2581.00
20140319,2576.00
20140320,2571.00
20140321,2561.00
20140324,2561.00
20140325,2557.00
20140326,2581.00
20140327,2590.00
20140328,2598.00
20140331,2608.00
20140401,2633.00
20140402,2633.00
20140403,2651.00
20140404,2657.00
20140407,2657.00
20140408,2655.00
20140409,2657.00
20140410,2657.00
20140411,2647.00
20140414,2630.00
20140415,2619.40
20140416,2607.00
20140417,2595.00
20140418,2594.00
20140421,2614.00
20140422,2630.00
20140423,2639.00
20140424,2651.00
20140425,2652.00
20140428,2656.00
20140429,2667.00
20140430,2662.00
20140501,2662.00
20140502,2662.00
20140505,2633.00
20140506,2625.00
20140507,2610.00
20140508,2596.00
20140509,2597.00
20140512,2608.00
20140513,2587.00
20140514,2586.00
20140515,2582.00
20140516,2576.00
20140519,2568.00
20140520,2552.00
20140521,2544.00
20140522,2532.00
20140523,2524.00
20140526,2517.00
20140527,2523.00
20140528,2523.00
20140529,2521.00
20140530,2512.00
20140602,2512.00
20140603,2512.00
20140604,2496.00
20140605,2487.00
20140606,2464.00
20140609,2449.00
20140610,2433.00
20140611,2416.00
20140612,2416.00
20140613,2426.00
20140616,2444.00
20140617,2475.00
20140618,2464.00
20140619,2464.00
20140620,2456.00
20140623,2455.00
20140624,2460.00
20140625,2465.00
20140626,2472.00
20140627,2472.00
20140630,2507.00
20140701,2514.00
20140702,2508.00
20140703,2506.00
20140704,2507.00
20140707,2507.00
20140708,2510.00
20140709,2511.00
20140710,2513.00
20140711,2505.00
20140714,2502.00
20140715,2502.00
20140716,2479.00
20140717,2476.00
20140718,2467.00
20140721,2462.00
20140722,2446.00
20140723,2448.00
20140724,2444.00
20140725,2428.00
20140728,2430.00
20140729,2440.00
20140730,2441.00
20140731,2437.00
20140801,2430.00
20140804,2418.00
20140805,2420.00
20140806,2420.00
20140807,2410.00
20140808,2409.00
20140811,2430.00
20140812,2446.00
20140813,2472.00
20140814,2486.00
20140815,2498.00
20140818,2498.00
20140819,2488.00
20140820,2490.00
20140821,2503.00
20140822,2499.00
20140825,2481.00
20140826,2479.00
20140827,2472.00
20140828,2466.00
20140829,2463.00
20140901,2456.00
20140902,2466.00
20140903,2478.00
20140904,2486.00
20140905,2496.00
20140908,2496.00
20140909,2509.00
20140910,2514.00
20140911,2522.00
20140912,2530.00
20140915,2542.00
20140916,2580.00
20140917,2608.00
20140918,2616.00
20140919,2616.00
20140922,2616.00
20140923,2618.00
20140924,2605.00
20140925,2595.00
20140926,2588.00
20140929,2578.00
20140930,2578.00
20141001,2578.00
20141002,2578.00
20141003,2578.00
20141006,2578.00
20141007,2578.00
20141008,2570.00
20141009,2550.00
20141010,2546.00
20141011,2540.00
20141013,2546.00
20141014,2538.00
20141015,2534.00
20141016,2532.00
20141017,2531.00
20141020,2518.00
20141021,2508.00
20141022,2504.00
20141023,2496.00
20141024,2498.00
20141027,2498.00
20141028,2482.00
20141029,2482.00
20141030,2467.00
20141031,2463.00
20141103,2458.00
20141104,2451.00
20141105,2449.00
20141106,2439.00
20141107,2431.00
20141110,2415.00
20141111,2414.00
20141112,2416.00
20141113,2424.00
20141114,2423.00
20141117,2424.00
20141118,2422.00
20141119,2416.00
20141120,2425.00
20141121,2458.00
20141124,2462.00
20141125,2462.00
20141126,2459.00
20141127,2455.00
20141128,2456.00
20141201,2465.00
20141202,2465.00
20141203,2475.00
20141204,2478.00
20141205,2463.00
20141208,2437.00
20141209,2424.00
20141210,2402.00
20141211,2398.00
20141212,2380.00
20141215,2330.00
20141216,2310.00
20141217,2278.00
20141218,2244.00
20141219,2208.00
20141222,2198.00
20141223,2160.00
20141224,2110.00
20141225,2118.00
20141226,2134.00
20141229,2114.00
20141230,2090.00
20141231,2090.00
20150101,2090.00
20150102,2090.00
20150105,2030.00
20150106,2010.00
20150107,2024.00
20150108,2004.00
20150109,1980.00
20150112,1928.00
20150113,1886.00
20150114,1864.00
20150115,1870.00
20150116,1878.00
20150119,1878.00
20150120,1892.00
20150121,1898.00
20150122,1896.00
20150123,1888.00
20150126,1881.00
20150127,1867.00
20150128,1867.00
20150129,1878.00
20150130,1876.00
20150202,1872.00
20150203,1865.00
20150204,1881.00
20150205,1881.00
20150206,1886.00
20150209,1896.00
20150210,1903.00
20150211,1907.00
20150212,1903.00
20150213,1917.00
20150216,1933.00
20150217,1933.00
20150218,1933.00
20150219,1933.00
20150220,1933.00
20150223,1933.00
20150224,1933.00
20150225,1940.00
20150226,1970.00
20150227,2008.00
20150302,2090.00
20150303,2090.00
20150304,2083.00
20150305,2099.00
20150306,2120.00
20150309,2155.00
20150310,2188.00
20150311,2193.00
20150312,2208.00
20150313,2208.00
20150316,2222.00
20150317,2221.00
20150318,2216.00
20150319,2214.00
20150320,2203.00
20150323,2192.00
20150324,2168.00
20150325,2150.00
20150326,2150.00
20150327,2151.00
20150328,2151.00
20150330,2155.00
20150331,2160.00
20150401,2164.00
20150402,2173.00
20150403,2179.00
20150406,2179.00
20150407,2210.00
20150408,2232.00
20150409,2241.00
20150410,2241.00
20150413,2256.00
20150414,2256.00
20150415,2274.00
20150416,2296.00
20150417,2296.00
20150420,2296.00
20150421,2296.00
20150422,2328.00
20150423,2328.00
20150424,2318.00
20150427,2314.00
20150428,2318.00
20150429,2318.00
20150430,2318.00
20150501,2318.00
20150504,2328.00
20150505,2324.00
20150506,2320.00
20150507,2316.00
20150508,2308.00
20150511,2306.00
20150512,2310.00
20150513,2328.00
20150514,2330.00
20150515,2330.00
20150518,2326.00
20150519,2316.00
20150520,2312.00
20150521,2312.00
20150522,2324.00
20150525,2322.00
20150526,2325.00
20150527,2324.00
20150528,2326.00
20150529,2326.00
20150601,2324.00
20150602,2320.00
20150603,2322.00
20150604,2320.00
20150605,2318.00
20150608,2317.00
20150609,2315.00
20150610,2316.00
20150611,2314.00
20150612,2310.00
20150615,2312.00
20150616,2320.00
20150617,2332.00
20150618,2336.00
20150619,2332.00
20150622,2332.00
20150623,2330.00
20150624,2324.00
20150625,2326.00
20150626,2326.00
20150629,2322.00
20150630,2316.00
20150701,2318.00
20150702,2320.00
20150703,2322.00
20150706,2322.00
20150707,2320.00
20150708,2320.00
20150709,2268.00
20150710,2286.00
20150713,2268.00
20150714,2264.00
20150715,2258.00
20150716,2246.00
20150717,2242.00
20150720,2224.00
20150721,2216.00
20150722,2214.00
20150723,2210.00
20150724,2198.00
20150727,2176.00
20150728,2156.00
20150729,2144.00
20150730,2138.00
20150731,2128.00
20150803,2094.00
20150804,2048.00
20150805,2010.00
20150806,1970.00
20150807,1946.00
20150810,1936.00
20150814,1984.00
20150817,1988.00
20150818,1990.00
20150819,1982.00
20150820,1970.00
20150821,1950.00
20150824,1922.00
20150825,1890.00
20150826,1858.00
20150827,1858.00
20150828,1902.00
20150831,1908.00
20150901,1904.00
20150902,1898.00
20150903,1898.00
20150904,1898.00
20150907,1890.00
20150908,1888.00
20150909,1882.00
20150910,1876.00
20150911,1880.00
20150914,1886.00
20150915,1880.00
20150916,1882.00
20150917,1882.00
20150918,1894.00
20150921,1892.00
20150922,1908.00
20150923,1916.00
20150924,1916.00
20150925,1912.00
20150928,1908.00
20150929,1902.00
20150930,1900.00
20151001,1900.00
20151002,1900.00
20151005,1900.00
20151006,1900.00
20151007,1900.00
20151008,1912.00
20151009,1928.00
20151010,1936.00
20151012,1938.00
20151013,1938.00
20151014,1936.00
20151015,1928.00
20151016,1926.00
20151019,1910.00
20151020,1892.00
