日期,价格
20130218,4363.64
20130219,4363.64
20130220,4363.64
20130221,4363.64
20130222,4250.00
20130225,4250.00
20130226,4122.73
20130227,4050.00
20130228,4050.00
20130301,4050.00
20130304,4031.82
20130305,3931.82
20130306,3918.18
20130307,3918.18
20130308,3918.18
20130311,3918.18
20130312,3909.09
20130313,3909.09
20130314,3909.09
20130315,3909.09
20130318,3909.09
20130319,3900.00
20130320,3900.00
20130321,3900.00
20130322,3900.00
20130325,3890.91
20130326,3890.91
20130327,3881.82
20130328,3881.82
20130329,3881.82
20130401,3909.09
20130402,3900.00
20130403,3881.82
20130408,3881.82
20130409,3877.27
20130410,3877.27
20130411,3877.27
20130412,3877.27
20130415,3877.27
20130416,3877.27
20130417,3868.18
20130418,3859.09
20130419,3859.09
20130422,3840.91
20130423,3840.91
20130424,3840.91
20130425,3840.91
20130426,3840.91
20130502,3886.36
20130503,3922.73
20130506,3922.73
20130507,3931.82
20130508,3931.82
20130509,3931.82
20130510,3931.82
20130513,3931.82
20130514,3940.91
20130515,3940.91
20130516,3940.91
20130517,3940.91
20130520,3940.91
20130521,3940.91
20130523,3940.91
20130524,3940.91
20130527,3940.91
20130528,3940.91
20130529,3940.91
20130530,3940.91
20130531,3940.91
20130603,3959.09
20130604,4040.91
20130605,4050.00
20130606,4050.00
20130607,4050.00
20130612,4068.18
20130613,4068.18
20130614,4068.18
20130617,4095.45
20130618,4095.45
20130619,4095.45
20130620,4122.73
20130621,4122.73
20130624,4122.73
20130625,4163.64
20130626,4163.64
20130627,4163.64
20130628,4227.27
20130701,4227.27
20130702,4340.91
20130703,4340.91
20130704,4395.45
20130705,4395.45
20130708,4422.73
20130709,4513.64
20130710,4704.55
20130711,4704.55
20130712,4704.55
20130715,4813.64
20130716,4813.64
20130717,4859.09
20130718,4950.00
20130719,4950.00
20130722,4950.00
20130723,4931.82
20130724,5027.27
20130725,5063.64
20130726,5063.64
20130729,5063.64
20130730,5063.64
20130731,5063.64
20130801,5145.45
20130802,5118.18
20130805,5118.18
20130806,5118.18
20130807,5122.73
20130808,5086.36
20130809,5086.36
20130812,5040.91
20130813,5040.91
20130814,5040.91
20130815,5040.91
20130816,5004.55
20130819,5004.55
20130820,5004.55
20130821,5004.55
20130822,4968.18
20130823,4968.18
20130826,4968.18
20130827,4968.18
20130828,4959.09
20130829,4959.09
20130830,4959.09
20130902,4827.27
20130903,4790.91
20130904,4745.45
20130905,4745.45
20130906,4745.45
20130909,4754.55
20130910,4754.55
20130911,4745.45
20130912,4745.45
20130913,4745.45
20130916,4745.45
20130917,4736.36
20130918,4736.36
20130919,4736.36
20130920,4736.36
20130922,4736.36
20130923,4781.82
20130924,4781.82
20130925,4813.64
20130926,4813.64
20130927,4813.64
20130929,4813.64
20130930,4813.64
20131008,4826.92
20131009,4846.15
20131010,4865.38
20131011,4865.38
20131012,4865.38
20131014,4880.77
20131015,4880.77
20131016,4880.77
20131017,4884.62
20131018,4884.62
20131021,4884.62
20131022,4892.31
20131023,4900.00
20131024,4900.00
20131025,4900.00
20131028,4900.00
20131029,4900.00
20131030,4900.00
20131031,4900.00
20131101,4923.08
20131104,4930.77
20131105,4930.77
20131106,4950.00
20131107,4950.00
20131108,4965.38
20131111,5030.77
20131112,5046.15
20131113,5046.15
20131114,5084.62
20131115,5084.62
20131118,5123.08
20131119,5153.85
20131120,5153.85
20131121,5153.85
20131122,5169.23
20131125,5169.23
20131126,5169.23
20131127,5169.23
20131128,5223.08
20131129,5238.46
