year,month,day,weekday,ws_1,prcp_1,snwd_1,average,temp
2011,1,1,Sat,4.92,0,0,45.6,40
2011,1,2,Sun,5.37,0,0,45.7,39
2011,1,3,Mon,6.26,0,0,45.8,42
2011,1,4,Tues,5.59,0,0,45.9,38
2011,1,5,Wed,3.8,0.03,0,46,45
2011,1,6,Thurs,4.92,0.12,0,46.1,49
2011,1,7,Fri,8.72,0.17,0,46.2,48
2011,1,8,Sat,10.96,0.37,0,46.3,40
2011,1,9,Sun,5.82,0.03,0,46.4,39
2011,1,10,Mon,5.59,0.02,0,46.5,38
2011,1,11,Tues,8.72,0,0,46.7,39
2011,1,12,Wed,11.18,0.3,0,46.8,47
2011,1,13,Thurs,10.29,0.81,0,46.9,53
2011,1,14,Fri,11.86,0.82,0,47,54
2011,1,15,Sat,13.42,0.29,0,47.1,52
2011,1,16,Sun,8.05,0.45,0,47.3,55
2011,1,17,Mon,17,0.27,0,47.4,50
2011,1,18,Tues,15.88,0.04,0,47.5,42
2011,1,19,Wed,7.83,0.08,0,47.6,45
2011,1,20,Thurs,3.13,0,0,47.7,44
2011,1,21,Fri,6.93,0.05,0,47.8,49
2011,1,22,Sat,11.63,0.51,0,47.9,49
2011,1,23,Sun,4.47,0,0,48,46
2011,1,24,Mon,3.58,0.04,0,48.1,48
2011,1,25,Tues,7.16,0.21,0,48.2,50
2011,1,26,Wed,5.37,0,0,48.3,54
2011,1,27,Thurs,2.01,0,0,48.4,50
2011,1,28,Fri,2.24,0,0,48.4,52
2011,1,29,Sat,9.17,0.14,0,48.5,48
2011,1,30,Sun,7.61,0.24,0,48.6,44
2011,1,31,Mon,10.74,0,0,48.7,44
2011,2,1,Tues,8.28,0,0,48.8,46
2011,2,2,Wed,7.16,0,0,48.8,51
2011,2,3,Thurs,2.91,0,0,48.9,49
2011,2,4,Fri,10.51,0.01,0,49,50
2011,2,5,Sat,14.76,0.07,0,49.1,47
2011,2,6,Sun,3.36,0.08,0,49.1,50
2011,2,7,Mon,12.08,0.25,0,49.2,48
2011,2,8,Tues,6.71,0.05,0,49.3,46
2011,2,9,Wed,5.82,0,0,49.4,45
2011,2,10,Thurs,3.13,0,0,49.4,47
2011,2,11,Fri,2.91,0,0,49.5,47
2011,2,12,Sat,3.8,0,0,49.6,54
2011,2,13,Sun,14.54,0.37,0,49.7,52
2011,2,14,Mon,7.38,0.24,0,49.8,50
2011,2,15,Tues,9.84,0.54,0,49.9,46
2011,2,16,Wed,7.61,0.09,0,49.9,44
2011,2,17,Thurs,10.07,0.04,0,50,44
2011,2,18,Fri,7.61,0.11,0,50.1,49
2011,2,19,Sat,6.04,0,0,50.2,43
2011,2,20,Sun,14.32,0,0,50.4,45
2011,2,21,Mon,5.37,0,0,50.5,45
2011,2,22,Tues,7.38,0.03,0,50.6,44
2011,2,23,Wed,7.83,0.04,0,50.7,37
2011,2,24,Thurs,12.08,0.24,0,50.8,35
2011,2,25,Fri,9.84,0,3,50.9,31
2011,2,26,Sat,10.29,0,1,51.1,34
2011,2,27,Sun,9.62,0,0,51.2,42
2011,2,28,Mon,18.57,0.47,0,51.3,40
2011,3,1,Tues,12.3,0.42,0,51.5,44
2011,3,2,Wed,6.93,0.24,0,51.6,50
2011,3,3,Thurs,12.3,0.07,0,51.8,48
2011,3,4,Fri,10.96,0.22,0,51.9,49
2011,3,5,Sat,10.07,0.12,0,52.1,50
2011,3,6,Sun,6.93,0.02,0,52.2,47
2011,3,7,Mon,5.82,0,0,52.4,48
2011,3,8,Tues,4.03,0,0,52.5,52
2011,3,9,Wed,10.07,0.16,0,52.7,52
2011,3,10,Thurs,11.63,1.47,0,52.8,53
2011,3,11,Fri,20.8,0.55,0,53,53
2011,3,12,Sat,10.74,0,0,53.1,48
2011,3,13,Sun,5.82,0.41,0,53.3,53
2011,3,14,Mon,12.3,0.33,0,53.4,53
2011,3,15,Tues,12.97,0.12,0,53.6,55
2011,3,16,Wed,11.63,0.37,0,53.7,48
2011,3,17,Thurs,12.97,0.09,0,53.9,51
2011,3,18,Fri,5.37,0,0,54,50
2011,3,19,Sat,8.95,0.27,0,54.2,54
2011,3,20,Sun,4.47,0,0,54.3,50
2011,3,21,Mon,13.87,0.01,0,54.5,50
2011,3,22,Tues,8.72,0.01,0,54.6,51
2011,3,23,Wed,6.93,0,0,54.7,62
2011,3,24,Thurs,11.86,0,0,54.9,61
2011,3,25,Fri,8.72,0.23,0,55,55
2011,3,26,Sat,8.05,0.33,0,55.2,50
2011,3,27,Sun,5.82,0.15,0,55.3,51
2011,3,28,Mon,7.61,0.28,0,55.5,51
2011,3,29,Tues,9.62,0.14,0,55.6,49
2011,3,30,Wed,8.5,0.12,0,55.7,51
2011,3,31,Thurs,15.43,0.26,0,55.9,54
2011,4,1,Fri,14.54,0.32,0,56,48
2011,4,2,Sat,5.82,1.13,0,56.2,48
2011,4,3,Sun,8.72,0.37,0,56.3,49
2011,4,4,Mon,7.38,0.06,0,56.5,47
2011,4,5,Tues,10.29,0.24,0,56.6,46
2011,4,6,Wed,15.88,0.23,0,56.8,48
2011,4,7,Thurs,11.86,0.12,0,56.9,49
2011,4,8,Fri,4.92,0.08,0,57.1,54
2011,4,9,Sat,3.13,0,0,57.2,55
2011,4,10,Sun,8.5,0.01,0,57.4,55
2011,4,11,Mon,11.86,0.16,0,57.6,51
2011,4,12,Tues,13.42,0,0,57.7,53
2011,4,13,Wed,4.47,0,0,57.9,48
2011,4,14,Thurs,9.4,0.17,0,58.1,47
2011,4,15,Fri,10.51,0.4,0,58.3,53
2011,4,16,Sat,3.8,0.09,0,58.5,53
2011,4,17,Sun,10.51,0.06,0,58.6,52
2011,4,18,Mon,5.82,0.01,0,58.8,51
2011,4,19,Tues,5.82,0.01,0,59,53
2011,4,20,Wed,6.04,0,0,59.2,54
2011,4,21,Thurs,9.62,0,0,59.4,53
2011,4,22,Fri,8.05,0,0,59.7,57
2011,4,23,Sat,7.38,0,0,59.9,66
2011,4,24,Sun,5.82,0,0,60.1,55
2011,4,25,Mon,8.72,0.18,0,60.3,52
2011,4,26,Tues,10.51,0.52,0,60.5,57
2011,4,27,Wed,9.4,0.01,0,60.7,52
2011,4,28,Thurs,12.53,0.45,0,61,51
2011,4,29,Fri,12.08,0.04,0,61.2,54
2011,4,30,Sat,4.92,0,0,61.4,56
2011,5,1,Sun,5.14,0.13,0,61.6,62
2011,5,2,Mon,3.58,0,0,61.9,53
2011,5,3,Tues,9.62,0.18,0,62.1,58
2011,5,4,Wed,8.72,0,0,62.3,62
2011,5,5,Thurs,6.93,0,0,62.5,57
2011,5,6,Fri,8.5,0.03,0,62.8,54
2011,5,7,Sat,8.5,0.13,0,63,56
2011,5,8,Sun,9.17,0.04,0,63.2,58
2011,5,9,Mon,4.92,0.02,0,63.4,57
2011,5,10,Tues,3.36,0,0,63.6,59
2011,5,11,Wed,5.59,0,0,63.8,51
2011,5,12,Thurs,7.83,0.42,0,64.1,60
2011,5,13,Fri,5.59,0,0,64.3,64
2011,5,14,Sat,10.51,0,0,64.5,66
2011,5,15,Sun,8.5,0.97,0,64.7,51
2011,5,16,Mon,9.62,0.81,0,64.8,56
2011,5,17,Tues,12.08,0,0,65,64
2011,5,18,Wed,7.38,0,0,65.2,66
2011,5,19,Thurs,9.62,0,0,65.4,68
2011,5,20,Fri,5.37,0,0,65.6,70
2011,5,21,Sat,4.25,0,0,65.7,54
2011,5,22,Sun,3.58,0.04,0,65.9,60
2011,5,23,Mon,6.71,0,0,66.1,63
2011,5,24,Tues,2.68,0,0,66.2,65
2011,5,25,Wed,6.71,0,0,66.4,56
2011,5,26,Thurs,7.16,0.41,0,66.5,61
2011,5,27,Fri,10.51,0.01,0,66.7,58
2011,5,28,Sat,10.51,0.02,0,66.8,62
2011,5,29,Sun,7.16,0.01,0,67,59
2011,5,30,Mon,6.71,0,0,67.1,61
2011,5,31,Tues,6.71,0,0,67.3,61
2011,6,1,Wed,5.82,0.11,0,67.4,59
2011,6,2,Thurs,5.82,0.17,0,67.6,61
2011,6,3,Fri,10.74,0.08,0,67.7,68
2011,6,4,Sat,8.72,0,0,67.9,78
2011,6,5,Sun,9.62,0,0,68,71
