日期,库存
2016-10-28,19.63
2016-11-04,19.1
2016-11-11,18.91
2016-11-18,18.92
2016-11-25,18.98
2016-12-02,18.85
2016-12-09,18.77
2016-12-16,18.22
2016-12-23,17.88
2016-12-30,17.2
2017-01-06,16.93
2017-01-13,16.57
2017-02-03,16.86
2017-02-10,16.55
2017-02-17,16.63
2017-02-24,16.69
2017-03-03,16.58
2017-03-10,16.23
2017-03-17,16.13
2017-03-24,16.01
2017-03-31,15.97
2017-04-07,16.05
2017-04-14,16.01
2017-04-21,16.39
2017-04-28,16.31
2017-05-05,16.45
2017-05-12,16.41
2017-05-19,16.12
2017-05-26,15.91
2017-06-02,15.56
2017-06-09,14.95
2017-06-16,14.92
2017-06-23,14.42
2017-06-30,13.87
2017-07-07,13.5
2017-07-14,13.64
2017-07-21,13.08
2017-07-28,12.6
2017-08-04,13.15
2017-08-11,12.65
2017-08-25,12.62
2017-09-01,12.71
2017-09-29,11.15
2017-10-13,10.99
2017-10-20,10.69
2017-11-10,10.65
2017-11-24,10
2017-12-08,10.13
2017-12-22,8.5
2018-01-05,10.58
2018-01-12,10.73
2018-02-02,10.53
2018-02-23,9.6
2018-03-09,10.94
2018-03-23,9.8
2018-04-13,9.16
2018-04-27,8.97
2018-05-11,10.12
2018-05-25,9.61
2018-06-01,9.68
2018-06-22,10.27
2018-07-06,9.72
2018-07-20,10.18
2018-08-03,8.82
2018-08-10,9.91
2018-08-17,9.47
2018-08-24,9.05
2018-08-31,8.94
2018-09-07,8.44
2018-09-14,8.69
2018-09-21,8.44
2018-09-28,8.22
2018-10-12,7.95
2018-10-19,7.66
2018-10-26,7.62
2018-11-02,7.27
2018-11-09,7.35
2018-11-16,7.58
2018-11-23,7.56
2018-11-30,7.85
2018-12-07,7.65
2018-12-14,7.08
2018-12-21,7.22
2018-12-28,7.18
2019-01-04,6.9171
2019-01-11,6.85
2019-01-18,6.71
2019-01-25,5.57
2019-02-01,5.34
2019-02-08,5.69
2019-02-15,5.68
2019-02-22,5.91
2019-03-01,5.84
2019-03-08,5.78
2019-03-15,6.06
2019-03-22,5.7
2019-03-29,5.69
2019-04-05,5.03
2019-04-12,4.81
2019-04-19,4.842
2019-04-26,5.1468
2019-05-03,5.0425
2019-05-10,5.1539
2019-05-17,5.0986
2019-05-24,5.33
2019-05-31,5.4
2019-06-07,5.54
2019-06-14,5.48
2019-06-21,5.73
2019-06-28,6
2019-07-05,6.08
2019-07-12,6.32
2019-07-19,6.94
2019-07-26,7.24
2019-08-02,7.14
2019-08-09,7
2019-08-16,7.04
2019-08-23,7.15
2019-08-30,7.64
2019-09-06,7.49
2019-09-13,7.39
2019-09-20,7.48
2019-09-27,7.3
2019-10-18,7.33
2019-10-25,7.16
2019-11-01,7.15
2019-11-08,7.25
2019-11-15,7.31
2019-11-22,6.83
2019-11-29,6.53
2019-12-06,6.49
2019-12-13,7.07
2019-12-20,6.95
2019-12-27,6.94
2020-01-03,6.86
2020-01-10,6.57
2020-01-17,6.23
2020-02-07,6.35
2020-02-14,6.71
2020-02-21,6.61
2020-02-28,6.47
2020-03-06,6.02
2020-03-13,5.97
2020-03-20,5.64
2020-03-27,5.49
2020-04-03,5.32
2020-04-10,5.37
2020-04-17,5.29
2020-04-24,5.18
2020-05-01,5.25
2020-05-08,5.19
2020-05-15,5.18
2020-05-22,5.17
2020-05-29,5.36
2020-06-05,5.33
2020-06-12,5.55
2020-06-19,5.54
2020-06-26,5.48
2020-07-03,5.49
2020-07-10,5.54
2020-07-17,5.81
2020-07-24,5.9
2020-07-31,6
2020-08-07,5.9
2020-08-14,5.9
2020-08-21,6.02
2020-08-28,5.94
2020-09-04,5.96
2020-09-11,5.9
2020-09-18,5.73
2020-09-25,5.68
2020-10-02,5.59
2020-10-09,5.81
2020-10-23,5.78
2020-10-30,5.77
2020-11-06,5.6
2020-11-13,5.35
2020-11-20,5.18
2020-11-27,5
2020-12-04,4.89
2020-12-11,4.72
2020-12-18,4.8
2020-12-25,4.64
2021-01-01,4.6
2021-01-08,4.33
2021-01-15,4.08
2021-01-22,3.66
2021-01-29,3.69
2021-02-05,3.62
2021-02-19,3.83
2021-02-26,4.15
2021-03-05,3.9
2021-03-12,3.66
2021-03-19,3.52
2021-03-26,3.58
2021-04-02,3.57
2021-04-09,3.78
2021-04-16,3.64
2021-04-23,3.47
2021-04-30,3.64
2021-05-07,3.59
2021-05-14,3.65
2021-05-21,3.59
2021-05-28,3.37
2021-06-04,3.37
