日期,价格
20110901,165125.00
20110902,163537.50
20110905,162375.00
20110906,159312.50
20110907,159500.00
20110908,163937.50
20110909,162200.00
20110912,161000.00
20110914,159875.00
20110915,159550.00
20110916,160937.50
20110919,158125.00
20110920,157125.00
20110921,156750.00
20110922,154750.00
20110923,140875.00
20110926,139937.50
20110927,140000.00
20110928,140937.50
20110929,140512.50
20110930,140562.50
20111011,143125.00
20111012,140250.00
20111013,140437.50
20111014,139625.00
20111017,140825.00
20111018,139575.00
20111019,139637.50
20111020,137375.00
20111021,136187.50
20111024,138437.50
20111025,141687.50
20111026,141125.00
20111027,141312.50
20111028,141375.00
20111031,140737.50
20111101,140500.00
20111102,138625.00
20111103,138000.00
20111104,138562.50
20111107,138812.50
20111108,137687.50
20111109,136125.00
20111110,134625.00
20111111,134250.00
20111114,135687.50
20111115,133687.50
20111116,132750.00
20111117,132500.00
20111118,131937.50
20111121,130500.00
20111122,129625.00
20111123,129125.00
20111124,127625.00
20111125,127875.00
20111128,126875.00
20111129,126937.50
20111130,126687.50
20111201,127375.00
20111202,125562.50
20111205,128687.50
20111206,130062.50
20111207,130375.00
20111208,129812.50
20111209,129812.50
20111212,130750.00
20111213,129700.00
20111214,129125.00
20111215,126737.50
20111216,126875.00
20111219,128437.50
20111220,128125.00
20111221,129750.00
20111222,130312.50
20111223,130062.50
20111226,130000.00
20111227,129975.00
20111228,129687.50
20111229,127625.00
20111230,128000.00
20120104,131125.00
20120105,131187.50
20120106,131075.00
20120109,131500.00
20120110,132193.75
20120111,132193.75
20120112,135687.50
20120113,137062.50
20120116,137187.50
20120117,137012.50
20120118,138187.50
20120119,138375.00
20120120,139562.50
20120129,140750.00
20120130,148500.00
20120131,147375.00
20120201,144500.00
20120202,144000.00
20120203,143437.50
20120206,144875.00
20120207,145562.50
20120208,145687.50
20120209,145437.50
20120210,146812.50
20120213,144312.50
20120214,143937.50
20120215,142000.00
20120216,141500.00
20120217,139875.00
20120220,139875.00
20120221,139875.00
20120222,140312.50
20120223,140037.50
20120224,139875.00
20120227,139975.00
20120228,140112.50
20120229,139412.50
20120301,138650.00
20120302,138687.50
20120305,138537.50
20120306,135812.50
20120307,134562.50
20120308,135562.50
20120309,135662.50
20120312,136300.00
20120313,136687.50
20120314,138312.50
20120315,137937.50
20120316,137575.00
20120319,136000.00
20120320,135375.00
20120321,135125.00
20120322,135125.00
20120323,134062.50
20120326,133500.00
20120327,133562.50
20120328,132025.00
20120329,130862.50
20120330,129375.00
20120405,131562.50
20120406,132937.50
20120409,132437.50
20120410,132437.50
20120411,130875.00
20120412,131225.00
20120413,133325.00
20120416,131750.00
20120417,129725.00
